GEOID,CensusTract,State,County,Urban,Pop2010,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_Vehicle
04013103220,04013103220,Arizona,Maricopa County,1,2994,0,5.61582641991066,95625.0,0,0,0
04013103302,04013103302,Arizona,Maricopa County,1,6246,1,19.805430521272,56723.0,0,1,0
04013103303,04013103303,Arizona,Maricopa County,1,3475,1,8.77441268044155,56994.0,0,1,0
04013103304,04013103304,Arizona,Maricopa County,1,4674,1,29.735723526150398,35450.0,0,0,0
04013103305,04013103305,Arizona,Maricopa County,1,3092,1,26.8896321070234,32300.0,0,0,0
04013103306,04013103306,Arizona,Maricopa County,1,3619,1,35.4027926960258,34788.0,0,0,0
04013103400,04013103400,Arizona,Maricopa County,1,4656,0,8.698347107438021,73813.0,0,0,0
04013103501,04013103501,Arizona,Maricopa County,1,3107,1,22.3684210526316,90000.0,0,0,0
04013103502,04013103502,Arizona,Maricopa County,1,5914,0,5.42857142857143,78258.0,0,0,0
04013103604,04013103604,Arizona,Maricopa County,1,4098,0,18.7726449275362,67143.0,0,0,0
04013103605,04013103605,Arizona,Maricopa County,1,5967,0,4.65348180156224,113494.0,0,0,0
04013103606,04013103606,Arizona,Maricopa County,1,4089,0,14.722039112283,74531.0,0,0,0
04013103607,04013103607,Arizona,Maricopa County,1,4496,0,4.35153583617747,96538.0,0,0,0
04013103608,04013103608,Arizona,Maricopa County,1,3587,0,11.1626770884221,76250.0,0,0,0
04013103609,04013103609,Arizona,Maricopa County,1,5280,0,13.6806596701649,58750.0,0,0,0
04013103611,04013103611,Arizona,Maricopa County,1,5121,0,4.38042620363062,116984.0,0,0,0
04013103612,04013103612,Arizona,Maricopa County,1,4762,0,7.977669728074909,99412.0,0,0,0
04013103614,04013103614,Arizona,Maricopa County,1,2998,0,17.3913043478261,85847.0,0,0,0
04013103615,04013103615,Arizona,Maricopa County,1,4748,1,36.5541327124563,22586.0,1,1,1
04013103701,04013103701,Arizona,Maricopa County,1,4700,0,13.370809074483,59771.0,0,0,0
04013103702,04013103702,Arizona,Maricopa County,1,3056,0,6.904554685233539,81683.0,0,0,0
04013103900,04013103900,Arizona,Maricopa County,1,5827,1,18.9585172109444,57645.0,1,1,1
04013104000,04013104000,Arizona,Maricopa County,1,6725,1,24.101216814159297,47026.0,0,1,1
04013104100,04013104100,Arizona,Maricopa County,1,6567,1,19.2438885730529,54028.0,0,1,1
04013104202,04013104202,Arizona,Maricopa County,1,5131,0,11.043527846417,59614.0,0,0,0
04013104203,04013104203,Arizona,Maricopa County,1,6211,0,9.06757912745937,64096.0,0,0,0
04013104204,04013104204,Arizona,Maricopa County,1,3230,0,5.36228093120586,65500.0,0,0,0
04013104205,04013104205,Arizona,Maricopa County,1,5156,1,18.6786897313213,56516.0,0,0,0
04013104206,04013104206,Arizona,Maricopa County,1,3813,1,17.2669968482665,53416.0,0,1,0
04013104207,04013104207,Arizona,Maricopa County,1,4240,0,8.99182561307902,78750.0,0,0,0
